# wave	flux	error	model
# 
1.397023925781250000e+03 7.600552843621977833e-15 4.985837627259376726e-16 9.999999999977893239e-01
1.397053833007812500e+03 7.236695441568789799e-15 4.896742466702433145e-16 9.999999999972367659e-01
1.397083740234375000e+03 7.035069836386744282e-15 4.853333086946834320e-16 9.999999999966843189e-01
1.397113769531250000e+03 7.365993326901264238e-15 4.955352911487694457e-16 9.999999999961319830e-01
1.397143676757812500e+03 7.424697792343670777e-15 4.931480346660516070e-16 9.999999999955796470e-01
1.397173583984375000e+03 8.005987704924090453e-15 5.148058730339560157e-16 9.999999999955802021e-01
1.397203491210937500e+03 7.331610565506317678e-15 4.914949439903664331e-16 9.999999999955807573e-01
1.397233398437500000e+03 7.080464873128944001e-15 4.907096385691432899e-16 9.999999999955813124e-01
1.397263305664062500e+03 6.839215490190815941e-15 4.750996154446345855e-16 9.999999999955817565e-01
1.397293212890625000e+03 7.504554364544911704e-15 4.979414470541228960e-16 9.999999999955824226e-01
1.397323120117187500e+03 7.343660456213957355e-15 4.970276043831539127e-16 9.999999999955828667e-01
1.397353027343750000e+03 8.463870846320189351e-15 5.302741769584772349e-16 9.999999999955835328e-01
1.397382934570312500e+03 8.378181605244155311e-15 5.264041363620315401e-16 9.999999999955839769e-01
1.397412841796875000e+03 7.848896127493360658e-15 5.159602730619452203e-16 9.999999999955845320e-01
1.397442749023437500e+03 7.274889851226380710e-15 4.900563114690142073e-16 9.999999999955850871e-01
1.397472656250000000e+03 7.114181443110875053e-15 4.876577788601860457e-16 9.999999999955856422e-01
1.397502563476562500e+03 7.127854248945453969e-15 4.860845210397795896e-16 9.999999999955861973e-01
1.397532470703125000e+03 6.902048817734613567e-15 4.799417322271729968e-16 9.999999999955867525e-01
1.397562377929687500e+03 7.894719762906871052e-15 5.132966720801856661e-16 9.999999999955873076e-01
1.397592285156250000e+03 7.447971716635377187e-15 4.983855040767209629e-16 9.999999999955877517e-01
1.397622192382812500e+03 6.720693981529784339e-15 4.730915650244906564e-16 9.999999999955884178e-01
1.397652099609375000e+03 7.192340561285818362e-15 4.907813187323046850e-16 9.999999999955888619e-01
1.397682006835937500e+03 7.419836670259378347e-15 4.954027304925241477e-16 9.999999999955894170e-01
1.397711914062500000e+03 7.040126199565378828e-15 4.892377070650521294e-16 9.999999999955899721e-01
1.397741821289062500e+03 7.793962652732130264e-15 5.066651452570133420e-16 9.999999999955905272e-01
1.397771728515625000e+03 7.710268174246880102e-15 5.051037988374276495e-16 9.999999999955910823e-01
1.397801635742187500e+03 7.857086089060362488e-15 5.103840434119333476e-16 9.999999999955916374e-01
1.397831542968750000e+03 6.909675078875217660e-15 4.802249059293519501e-16 9.999999999955921925e-01
1.397861450195312500e+03 7.603070225541217614e-15 5.006324177879906048e-16 9.999999999955927477e-01
1.397891357421875000e+03 7.293518646835344538e-15 4.971902876485859418e-16 9.999999999955933028e-01
1.397921264648437500e+03 7.799650478972942891e-15 5.082670433789488341e-16 9.999999999955937469e-01
1.397951171875000000e+03 8.221372089784861198e-15 5.290217858064025485e-16 9.999999999955944130e-01
1.397981079101562500e+03 8.137530227566788787e-15 5.168934386720234423e-16 9.999999999955948571e-01
1.398010986328125000e+03 7.620311581182578897e-15 5.023683588738290899e-16 9.999999999955954122e-01
