# wave	flux	error	model
# 
1.397023925781250000e+03 1.024062752723693848e+00 6.717683374881744385e-02 9.980085513913958817e-01
1.397053833007812500e+03 9.750784635543823242e-01 6.597912311553955078e-02 9.978304631962641169e-01
1.397083740234375000e+03 9.479502439498901367e-01 6.539690494537353516e-02 9.976434879599963557e-01
1.397113769531250000e+03 9.925818443298339844e-01 6.677433848381042480e-02 9.974486242227690314e-01
1.397143676757812500e+03 1.000533461570739746e+00 6.645537912845611572e-02 9.972464553053244085e-01
1.397173583984375000e+03 1.078911185264587402e+00 6.937679648399353027e-02 9.970368343965547719e-01
1.397203491210937500e+03 9.880707263946533203e-01 6.623807549476623535e-02 9.968185649033030060e-01
1.397233398437500000e+03 9.542633891105651855e-01 6.613495945930480957e-02 9.965891111031686123e-01
1.397263305664062500e+03 9.217872023582458496e-01 6.403376907110214233e-02 9.963443801599962679e-01
1.397293212890625000e+03 1.011502981185913086e+00 6.711514294147491455e-02 9.960786160328441996e-01
1.397323120117187500e+03 9.898576140403747559e-01 6.699473410844802856e-02 9.957844373215057887e-01
1.397353027343750000e+03 1.140898585319519043e+00 7.147900015115737915e-02 9.954530347973309379e-01
1.397382934570312500e+03 1.129394531250000000e+00 7.096026092767715454e-02 9.950745233888472763e-01
1.397412841796875000e+03 1.058089494705200195e+00 6.955527514219284058e-02 9.946384212968620853e-01
1.397442749023437500e+03 9.807494282722473145e-01 6.606594473123550415e-02 9.941342074284914565e-01
1.397472656250000000e+03 9.591234326362609863e-01 6.574530154466629028e-02 9.935518848472247866e-01
1.397502563476562500e+03 9.610062837600708008e-01 6.553588807582855225e-02 9.928824460752496694e-01
1.397532470703125000e+03 9.306006431579589844e-01 6.471036374568939209e-02 9.921180921049480572e-01
1.397562377929687500e+03 1.064485788345336914e+00 6.921043992042541504e-02 9.912520069443282456e-01
1.397592285156250000e+03 1.004289865493774414e+00 6.720266491174697876e-02 9.902774513513392662e-01
1.397622192382812500e+03 9.062606096267700195e-01 6.379464268684387207e-02 9.891859319520447391e-01
1.397652099609375000e+03 9.699002504348754883e-01 6.618275493383407593e-02 9.879642273226489912e-01
1.397682006835937500e+03 1.000619769096374512e+00 6.680871546268463135e-02 9.865900889522943862e-01
1.397711914062500000e+03 9.494521021842956543e-01 6.598003208637237549e-02 9.850264472958580875e-01
1.397741821289062500e+03 1.051159977912902832e+00 6.833316385746002197e-02 9.832139286885770435e-01
1.397771728515625000e+03 1.039915204048156738e+00 6.812539696693420410e-02 9.810614751172824777e-01
1.397801635742187500e+03 1.059760689735412598e+00 6.884039938449859619e-02 9.784349791446134148e-01
1.397831542968750000e+03 9.320126771926879883e-01 6.477522104978561401e-02 9.751442962109567736e-01
1.397861450195312500e+03 1.025583624839782715e+00 6.753066927194595337e-02 9.709299946327218933e-01
1.397891357421875000e+03 9.838685393333435059e-01 6.706912070512771606e-02 9.654528697073022636e-01
1.397921264648437500e+03 1.052187085151672363e+00 6.856615841388702393e-02 9.582913979652604164e-01
1.397951171875000000e+03 1.109123945236206055e+00 7.136895507574081421e-02 9.489542650142470670e-01
1.397981079101562500e+03 1.097858309745788574e+00 6.973562389612197876e-02 9.369156842155809128e-01
1.398010986328125000e+03 1.028121113777160645e+00 6.777878850698471069e-02 9.216790526944023121e-01
1.398040893554687500e+03 9.166595339775085449e-01 6.489884108304977417e-02 9.028686177427880377e-01
1.398070800781250000e+03 8.832034468650817871e-01 6.371379643678665161e-02 8.803395655764609806e-01
1.398100708007812500e+03 1.011432170867919922e+00 6.758635491132736206e-02 8.542865402445970480e-01
1.398130615234375000e+03 8.048366308212280273e-01 6.103206053376197815e-02 8.253231471509012707e-01
1.398160522460937500e+03 8.271577954292297363e-01 6.182685121893882751e-02 7.945051101503635138e-01
1.398190429687500000e+03 7.969716787338256836e-01 6.007219851016998291e-02 7.632800477850164578e-01
1.398220336914062500e+03 6.009665727615356445e-01 5.336301028728485107e-02 7.333653558275676776e-01
1.398250244140625000e+03 5.544034242630004883e-01 5.130327120423316956e-02 7.065754662499398320e-01
1.398280151367187500e+03 5.782688856124877930e-01 5.139210820198059082e-02 6.846320798234035720e-01
1.398310058593750000e+03 6.410477757453918457e-01 5.417190864682197571e-02 6.689906763412809543e-01
1.398339965820312500e+03 7.561389207839965820e-01 5.837516114115715027e-02 6.607054775225462695e-01
1.398369873046875000e+03 7.349395751953125000e-01 5.812027677893638611e-02 6.603404660116519720e-01
1.398399780273437500e+03 7.105879783630371094e-01 5.698249489068984985e-02 6.679242644853025102e-01
1.398429809570312500e+03 7.498553991317749023e-01 5.972740054130554199e-02 6.829456522377486127e-01
1.398459716796875000e+03 8.231233954429626465e-01 6.131377071142196655e-02 7.043913908615140329e-01
1.398489624023437500e+03 8.349727392196655273e-01 6.207355856895446777e-02 7.308315190187373300e-01
1.398519531250000000e+03 8.382375836372375488e-01 6.155235692858695984e-02 7.605539211822693879e-01
1.398549438476562500e+03 7.818226218223571777e-01 5.951460078358650208e-02 7.917394037349065883e-01
1.398579345703125000e+03 6.417757868766784668e-01 5.477842316031455994e-02 8.226541742860710160e-01
1.398609252929687500e+03 6.945489645004272461e-01 5.636549741029739380e-02 8.518257284087574766e-01
1.398639160156250000e+03 7.383733987808227539e-01 5.885421112179756165e-02 8.781681294411740613e-01
