# wave	flux	error	model
# 
1.395020019531250000e+03 1.008873224258422852e+00 6.719019263982772827e-02 9.999088827679659675e-01
1.395049926757812500e+03 9.954430460929870605e-01 6.654784828424453735e-02 9.999066666109160950e-01
1.395079833984375000e+03 9.829976558685302734e-01 6.576278805732727051e-02 9.999046114592745615e-01
1.395109741210937500e+03 9.306410551071166992e-01 6.474443525075912476e-02 9.999027098545829606e-01
1.395139648437500000e+03 1.002504944801330566e+00 6.674353033304214478e-02 9.999009361089883363e-01
1.395169555664062500e+03 1.042685747146606445e+00 6.784869730472564697e-02 9.998992492675661259e-01
1.395199462890625000e+03 1.021038174629211426e+00 6.756856292486190796e-02 9.998975969668224550e-01
1.395229370117187500e+03 1.081400990486145020e+00 6.934765726327896118e-02 9.998959193065829476e-01
1.395259277343750000e+03 1.105645179748535156e+00 7.035743445158004761e-02 9.998941521516973019e-01
1.395289184570312500e+03 1.054121494293212891e+00 6.842682510614395142e-02 9.998922300840095145e-01
1.395319091796875000e+03 1.122679948806762695e+00 7.073801010847091675e-02 9.998900892408895125e-01
1.395348999023437500e+03 1.068251490592956543e+00 6.961087137460708618e-02 9.998876706494947975e-01
1.395378906250000000e+03 1.015017628669738770e+00 6.765861064195632935e-02 9.998849244784888679e-01
1.395408813476562500e+03 1.030827283859252930e+00 6.806084513664245605e-02 9.998818149972656943e-01
1.395438720703125000e+03 1.045579791069030762e+00 6.828243285417556763e-02 9.998783254251837338e-01
1.395468627929687500e+03 8.722053170204162598e-01 6.245660409331321716e-02 9.998744615927361856e-01
1.395498535156250000e+03 9.901525974273681641e-01 6.615097075700759888e-02 9.998702533327743502e-01
1.395528442382812500e+03 1.023805141448974609e+00 6.749581545591354370e-02 9.998657531048711355e-01
1.395558349609375000e+03 9.564662575721740723e-01 6.509008258581161499e-02 9.998610322103118619e-01
1.395588256835937500e+03 9.971440434455871582e-01 6.676696240901947021e-02 9.998561752762487043e-01
1.395618164062500000e+03 1.010496616363525391e+00 6.676398217678070068e-02 9.998512739289411311e-01
1.395648071289062500e+03 1.055847883224487305e+00 6.918024271726608276e-02 9.998464202222230313e-01
1.395677978515625000e+03 9.202477931976318359e-01 6.407192349433898926e-02 9.998416999870615163e-01
1.395707885742187500e+03 1.069567203521728516e+00 6.910584867000579834e-02 9.998371859629154867e-01
1.395737792968750000e+03 9.739249348640441895e-01 6.581131368875503540e-02 9.998329306218227686e-01
1.395767700195312500e+03 1.026472091674804688e+00 6.751934438943862915e-02 9.998289591704730972e-01
1.395797729492187500e+03 9.467798471450805664e-01 6.491208076477050781e-02 9.998252635198453531e-01
1.395827636718750000e+03 1.044933557510375977e+00 6.850315630435943604e-02 9.998217985003357011e-01
1.395857543945312500e+03 1.127107143402099609e+00 7.047145068645477295e-02 9.998184813099814106e-01
1.395887451171875000e+03 1.089530587196350098e+00 6.941851228475570679e-02 9.998151949031964802e-01
1.395917358398437500e+03 1.006339550018310547e+00 6.730467081069946289e-02 9.998117950164611134e-01
1.395947265625000000e+03 1.115825772285461426e+00 7.056656479835510254e-02 9.998081195907810859e-01
1.395977172851562500e+03 9.658372998237609863e-01 6.570211797952651978e-02 9.998039989890696866e-01
1.396007080078125000e+03 1.064795136451721191e+00 6.892342120409011841e-02 9.997992650372640178e-01
1.396036987304687500e+03 9.137880802154541016e-01 6.474653631448745728e-02 9.997937574664033100e-01
1.396066894531250000e+03 1.077645301818847656e+00 6.940176337957382202e-02 9.997873272035892045e-01
1.396096801757812500e+03 1.209436893463134766e+00 7.318654656410217285e-02 9.997798367391370622e-01
1.396126708984375000e+03 1.053729295730590820e+00 6.839489936828613281e-02 9.997711587545575762e-01
1.396156616210937500e+03 1.068365931510925293e+00 6.876309216022491455e-02 9.997611743530367967e-01
1.396186523437500000e+03 9.907708168029785156e-01 6.664581596851348877e-02 9.997497717058415612e-01
1.396216430664062500e+03 1.032468557357788086e+00 6.819823384284973145e-02 9.997368455949522392e-01
1.396246337890625000e+03 1.056046605110168457e+00 6.889034807682037354e-02 9.997222973092980691e-01
1.396276245117187500e+03 1.037323117256164551e+00 6.779294461011886597e-02 9.997060343967546503e-01
1.396306152343750000e+03 9.832386374473571777e-01 6.616213917732238770e-02 9.996879697401805931e-01
1.396336059570312500e+03 1.058114767074584961e+00 6.861902773380279541e-02 9.996680195623023346e-01
1.396365966796875000e+03 1.181222677230834961e+00 7.232069224119186401e-02 9.996461006639028035e-01
1.396395874023437500e+03 1.048466324806213379e+00 6.834423542022705078e-02 9.996221265193012684e-01
1.396425781250000000e+03 1.044287085533142090e+00 6.826623529195785522e-02 9.995960020827282522e-01
1.396455688476562500e+03 9.551491141319274902e-01 6.541155278682708740e-02 9.995676166996324552e-01
1.396485595703125000e+03 9.561612010002136230e-01 6.571776419878005981e-02 9.995368343630954833e-01
1.396515502929687500e+03 1.111675620079040527e+00 7.021922618150711060e-02 9.995034810331324682e-01
1.396545410156250000e+03 1.058063507080078125e+00 6.865577399730682373e-02 9.994673287491593339e-01
1.396575317382812500e+03 1.107756972312927246e+00 7.012721151113510132e-02 9.994280774290509317e-01
